field;region;land_type;fertility_score;season;crop;crop_predecessor;crop_yearold;area;hybrid;reproduction;seed_origin;technology;yield_plan;p2o5;k2o;humus;ph;
16.13.12.069.00;Татарстан;пашня;3;2023;Оз.пшеница мягкая;Пар;;42,70;Скипетр;РС-2;Свои;классическая с плугом;3,94;112,31;164,07;8,75;6,10;
16.13.12.070.00;Татарстан;пашня;3;2023;Лён масличный;Яр.ячмень;;94,92;Кинельская;ЭС;Покупные;;1,24;112,31;164,07;8,75;6,10;
16.13.12.071.00;Татарстан;пашня;3;2023;Оз.пшеница мягкая;Пар;;35,92;Скипетр;РС-2;Свои;классическая с плугом;3,94;138,39;206,22;7,76;7,37;
16.13.12.072.00;Татарстан;пашня;3;2023;Пар;;;100,58;;;;;;0,00;0,00;0,00;0,00;
16.13.12.073.00;Татарстан;пашня;;2023;Пар;;;18,01;;;;;;0,00;0,00;0,00;0,00;
16.13.12.074.00;Татарстан;пашня;;2023;Пар;;;17,58;;;;;;0,00;0,00;0,00;0,00;
16.13.13.001.00;Татарстан;пашня;3;2023;Люцерна пр.лет корм;Люц.+кострец пр.лет корм;5;53,73;Сарга;;;классическая с плугом;3,40;133,10;264,00;7,37;6,23;
16.13.13.002.00;Татарстан;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.рыжик;1;49,84;Уралочка;РС-1;Свои;классическая с плугом;1,02;177,65;235,13;7,37;6,35;
16.13.13.003.00;Татарстан;пашня;3;2023;Люцерна пр.лет корм;Люц.+кострец пр.лет корм;5;56,95;Сарга;;;классическая с плугом;3,40;100,47;207,90;8,58;6,53;
16.13.13.004.00;Татарстан;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.рыжик;1;33,96;Уралочка;РС-1;Свои;минимальная;1,02;145,11;233,66;7,32;6,05;
16.13.13.005.00;Татарстан;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.рыжик;1;29,80;Уралочка;РС-1;Свои;классическая с плугом;1,02;146,30;127,60;8,91;5,83;
16.13.13.006.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;21,37;;;;минимальная;;164,45;275,00;7,26;6,76;
16.13.13.007.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;189,31;;;;минимальная;;151,56;247,44;7,30;6,29;
16.13.13.008.00;Татарстан;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.рыжик;1;208,29;Дакота;РС-1;Свои;классическая с плугом;1,02;109,12;226,49;9,57;6,99;
16.13.13.009.00;Татарстан;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.рыжик;1;17,80;Уралочка;РС-1;Свои;классическая с плугом;1,02;75,90;275,00;8,69;6,71;
16.13.13.010.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;26,87;;;;классическая с плугом;;58,30;192,50;9,13;7,59;
16.13.13.011.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;103,17;;;;минимальная;;163,72;221,28;7,26;6,51;
16.13.13.012.00;Татарстан;пашня;3;2023;Кукуруза силос;Люцерна пр.лет корм;;62,08;Каскад 166;F1;Покупные;классическая с плугом;4,68;78,83;127,97;6,60;5,76;
16.13.13.013.00;Татарстан;пашня;3;2023;Кукуруза силос;Люцерна пр.лет корм;;33,79;Каскад 166;F1;Покупные;минимальная;4,68;99,55;168,85;5,61;7,59;
16.13.13.014.00;Татарстан;пашня;3;2023;Кукуруза силос;Люцерна пр.лет корм;;6,33;Каскад 166;F1;Покупные;классическая с плугом;4,68;71,50;119,90;4,95;7,70;
16.13.13.015.00;Татарстан;пашня;3;2023;Кукуруза силос;Люцерна пр.лет корм;;21,17;Каскад 166;F1;Покупные;классическая с плугом;4,68;83,60;136,40;5,83;5,83;
16.13.13.016.00;Татарстан;пашня;3;2023;Чечевица;Люц.+кострец пр.лет корм;;9,35;Рэдкот;РСт;Свои;классическая с плугом;1,89;113,30;275,00;7,92;7,37;
16.13.13.017.00;Татарстан;пашня;3;2023;Кукуруза силос;Пар;;273,34;Каскад 166;F1;Покупные;классическая с плугом;4,68;91,07;114,90;7,09;6,79;
16.13.13.018.00;Татарстан;пашня;3;2023;Чечевица;Люцерна пр.лет корм;;14,93;Рэдкот;РСт;Свои;классическая с плугом;1,89;165,00;251,90;7,48;7,81;
16.13.13.019.00;Татарстан;пашня;3;2023;Горох;Эспарцет пр.лет корм;;51,48;Рокет;РС-1;Свои;классическая с плугом;2,61;64,17;209,00;7,70;7,59;
16.13.13.020.00;Татарстан;пашня;3;2023;Горох;Эспарцет пр.лет корм;;119,48;Рокет;ЭС;Покупные;классическая с плугом;2,61;144,63;231,30;8,14;6,62;
16.13.13.021.00;Татарстан;пашня;3;2023;Горох;Эспарцет пр.лет корм;;79,83;Рокет;РС-1;Свои;классическая с плугом;2,61;144,63;231,30;8,14;6,62;
16.13.13.022.00;Татарстан;пашня;3;2023;Чечевица;Люцерна пр.лет корм;;34,22;Рэдкот;РСт;Свои;классическая с плугом;1,89;252,45;274,45;7,81;6,88;
16.13.13.023.00;Татарстан;пашня;3;2023;Кукуруза силос;Пар;;112,71;Каскад 166;F1;Покупные;классическая с плугом;4,68;94,21;166,58;7,18;7,11;
16.13.13.024.00;Татарстан;пашня;3;2023;Горох;Эспарцет пр.лет корм;;74,46;Рокет;РС-1;Свои;классическая с плугом;2,61;97,90;182,88;7,70;5,83;
16.13.13.025.00;Татарстан;пашня;3;2023;Горох;Эспарцет пр.лет корм;;15,18;Рокет;РС-1;Свои;классическая с плугом;2,61;66,00;210,10;8,25;5,83;
16.13.13.026.00;Татарстан;пашня;3;2023;Чечевица;Люцерна пр.лет корм;;25,25;Рэдкот;РСт;Свои;классическая с плугом;1,89;264,00;260,70;7,81;6,43;
16.13.13.027.00;Татарстан;пашня;3;2023;Чечевица;Люцерна пр.лет корм;;81,91;Рэдкот;РСт;Свои;классическая с плугом;1,89;242,55;275,00;7,92;6,16;
16.13.13.028.00;Татарстан;пашня;3;2023;Чечевица;Люцерна пр.лет корм;;75,64;Рэдкот;РСт;Свои;классическая с плугом;1,89;171,60;239,25;8,69;7,59;
16.13.13.029.00;Татарстан;пашня;3;2023;Кукуруза силос;Пар;;7,64;Каскад 166;F1;Покупные;классическая с плугом;4,68;91,30;276,10;6,82;7,59;
16.13.13.030.00;Татарстан;пашня;3;2023;Кукуруза силос;Пар;;2,62;Каскад 166;F1;Покупные;классическая с плугом;4,68;100,10;183,70;6,93;5,72;
16.13.13.031.00;Татарстан;пашня;3;2023;Кукуруза силос;Пар;;4,89;Каскад 166;F1;Покупные;классическая с плугом;4,68;82,50;92,40;6,71;7,15;
16.13.13.032.00;Татарстан;пашня;3;2023;Кукуруза силос;Пар;;26,55;Каскад 166;F1;Покупные;классическая с плугом;4,68;77,00;90,20;6,71;7,15;
16.13.13.033.00;Татарстан;пашня;3;2023;Кукуруза силос;Пар;;87,21;Каскад 166;F1;Покупные;классическая с плугом;4,68;81,40;147,13;6,77;7,16;
16.13.13.034.00;Татарстан;пашня;3;2023;Горох;Эспарцет пр.лет корм;;37,76;Рокет;РС-1;Свои;классическая с плугом;2,61;150,70;191,40;7,70;7,26;
16.13.13.035.00;Татарстан;пашня;3;2023;Горох;Эспарцет пр.лет корм;;24,07;Рокет;РС-1;Свои;классическая с плугом;2,61;128,70;234,30;8,36;5,83;
16.13.13.036.00;Татарстан;пашня;3;2023;Горох;Эспарцет пр.лет корм;;26,63;Рокет;РС-1;Свои;классическая с плугом;2,61;133,10;257,40;8,36;5,83;
16.13.13.037.00;Татарстан;пашня;3;2023;Чечевица;Эспарцет пр.лет корм;;55,69;Рэдкот;РСт;Свои;классическая с плугом;1,89;141,35;235,40;8,58;6,19;
16.13.13.038.00;Татарстан;пашня;3;2023;Чечевица;Эспарцет пр.лет корм;;20,80;Рэдкот;РСт;Свои;классическая с плугом;1,89;127,60;177,10;9,02;7,70;
16.13.13.039.00;Татарстан;пашня;3;2023;Чечевица;Люцерна пр.лет корм;;217,75;Рэдкот;РСт;Свои;классическая с плугом;1,89;174,50;258,50;8,80;6,11;
16.13.13.040.00;Татарстан;пашня;3;2023;Чечевица;Люцерна пр.лет корм;;6,88;Рэдкот;РСт;Свои;классическая с плугом;1,89;184,80;138,60;8,14;7,59;
16.13.13.041.00;Татарстан;пашня;3;2023;Кукуруза силос;Пар;;11,52;Каскад 166;F1;Покупные;классическая с плугом;4,68;57,20;127,60;6,49;6,16;
16.13.13.042.00;Татарстан;пашня;3;2023;Чечевица;Эспарцет пр.лет корм;;92,30;Рэдкот;РСт;Свои;классическая с плугом;1,53;112,20;182,05;7,92;5,97;
16.13.13.043.00;Татарстан;пашня;3;2023;Чечевица;Люцерна пр.лет корм;;12,80;Рэдкот;РСт;Свои;классическая с плугом;1,89;227,70;136,40;8,14;7,59;
16.13.13.044.00;Татарстан;пашня;;2023;Горох;Пар;;114,57;Рокет;РС-1;Свои;;2,61;0,00;0,00;0,00;0,00;
16.13.13.045.01;Татарстан;пашня;;2023;Горох;Пар;;158,42;Рокет;РС-1;;;2,61;0,00;0,00;0,00;0,00;
16.13.13.045.02;Татарстан;пашня;;2023;Горох;Пар;;1,83;Рокет;РС-1;Свои;классическая с плугом;2,61;0,00;0,00;0,00;0,00;
16.13.13.045.03;Татарстан;пашня;;2023;Горох;Пар;;0,65;Рокет;РС-1;Свои;классическая с плугом;2,61;0,00;0,00;0,00;0,00;
16.13.13.045.04;Татарстан;пашня;;2023;Горох;Пар;;2,51;Рокет;РС-1;Свои;классическая с плугом;2,61;0,00;0,00;0,00;0,00;
16.13.13.046.01;Татарстан;пашня;;2023;Чечевица;Пар;;36,00;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.13.046.02;Татарстан;пашня;;2023;Чечевица;Пар;;14,29;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.13.046.03;Татарстан;пашня;3;2023;Чечевица;Пар;;2,36;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.13.046.04;Татарстан;пашня;3;2023;Чечевица;Пар;;1,43;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.13.047.00;Татарстан;пашня;;2023;Чечевица;Пар;;63,07;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.13.048.00;Татарстан;пашня;;2023;Чечевица;Пар;;13,49;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.13.049.00;Татарстан;пашня;3;2023;Горох;Пар;;144,66;Рокет;РС-1;;;2,61;129,14;243,54;7,92;6,82;
16.13.13.050.00;Татарстан;пашня;3;2023;Чечевица;Пар;;22,19;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.13.051.00;Татарстан;пашня;3;2023;Горох;Пар;;8,89;;;;;2,61;0,00;0,00;0,00;0,00;
16.13.13.052.00;Татарстан;пашня;;2023;Горох;Пар;;6,26;;;;;2,61;0,00;0,00;0,00;0,00;
16.13.15.001.00;Татарстан;пашня;3;2023;Кукуруза силос;Лён масличный;;24,18;Каскад 166;F1;Покупные;классическая с плугом;4,68;276,10;165,00;7,15;5,72;
16.13.15.002.00;Татарстан;пашня;3;2023;Кукуруза силос;Лён масличный;;85,91;Каскад 166;F1;Покупные;классическая с плугом;4,68;126,23;153,73;7,15;5,69;
16.13.15.004.00;Татарстан;пашня;3;2023;Кукуруза силос;Люцерна пр.лет корм;;39,90;Каскад 166;F1;Покупные;классическая с плугом;4,68;102,30;164,27;8,80;6,45;
16.13.15.005.00;Татарстан;пашня;3;2023;Кукуруза силос;Люцерна пр.лет корм;;36,68;Каскад 166;F1;Покупные;классическая с плугом;4,68;40,15;187,55;8,25;6,05;
16.13.15.006.00;Татарстан;пашня;3;2023;Кукуруза силос;Лён масличный;;12,12;Каскад 166;F1;Покупные;классическая с плугом;4,68;45,10;198,00;7,04;6,05;
16.13.15.007.00;Татарстан;пашня;3;2023;Кукуруза силос;Люцерна пр.лет корм;;153,49;Каскад 166;F1;Покупные;классическая с плугом;4,68;128,01;215,05;7,37;6,00;
16.13.15.008.00;Татарстан;пашня;3;2023;Кукуруза силос;Подсолнечник;;112,25;Каскад 166;F1;Покупные;классическая с плугом;4,68;299,57;150,61;8,58;6,76;
16.13.15.009.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;49,95;Вакула;ЭС;Свои;нулевая с прямым посевом;3,57;299,57;150,61;8,58;6,76;
16.13.15.010.00;Татарстан;пашня;3;2023;Пар;Подсолнечник;;84,92;;;;;;142,57;194,74;8,18;7,16;
16.13.15.011.00;Татарстан;пашня;3;2023;Кукуруза силос;Лён масличный;;97,78;Каскад 166;F1;Покупные;классическая с плугом;4,68;183,95;208,59;8,14;7,01;
16.13.15.012.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;115,52;Вакула;ЭС;Покупные;нулевая с прямым посевом;3,57;158,57;190,32;8,20;7,30;
16.13.15.013.00;Татарстан;пашня;3;2023;Кукуруза силос;Лён масличный;;143,35;П 7043;F1;Покупные;классическая с плугом;4,68;137,02;222,20;8,14;6,71;
16.13.15.014.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;40,42;Вакула;РС-1;Покупные;нулевая с прямым посевом;3,57;121,52;173,10;8,21;7,27;
16.13.15.015.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;23,47;Вакула;РС-1;Покупные;нулевая с прямым посевом;3,57;169,29;192,98;8,06;7,10;
16.13.15.016.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;151,28;Вакула;РС-1;Свои;нулевая с прямым посевом;3,57;101,42;200,57;7,99;7,16;
16.13.15.017.00;Татарстан;пашня;3;2023;Кукуруза силос;Лён масличный;;54,34;П 7043;F1;Покупные;классическая с плугом;4,68;249,52;228,43;8,42;6,30;
16.13.15.018.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;33,41;Вакула;РС-1;Покупные;нулевая с прямым посевом;3,57;292,60;234,85;8,58;7,75;
16.13.15.020.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;124,14;Вакула;РС-1;Свои;нулевая с прямым посевом;3,57;178,61;215,42;8,17;6,79;
16.13.15.021.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;63,25;Вакула;ЭС;Свои;нулевая с прямым посевом;3,57;128,01;215,05;7,37;6,00;
16.13.15.022.00;Татарстан;пашня;3;2023;Пар;;;13,84;;;;;;0,00;0,00;0,00;0,00;
16.13.16.001.00;Татарстан;пашня;5;2023;Эспарцет 1 г.ж.корм;Чечевица;1;10,09;Песчаный 1251;РСт;Свои;минимальная;1,53;114,40;276,10;5,50;7,70;
16.13.16.002.00;Татарстан;пашня;;2023;Эспарцет 1 г.ж.корм;Чечевица;1;213,96;Песчаный 1251;РСт;Свои;минимальная;1,53;70,07;188,32;8,03;7,21;
16.13.16.003.00;Татарстан;пашня;5;2023;Эспарцет 1 г.ж.корм;Чечевица;1;5,24;Песчаный 1251;РСт;Свои;минимальная;1,53;110,00;276,10;5,39;7,70;
16.13.16.004.00;Татарстан;пашня;5;2023;Эспарцет 1 г.ж.корм;Чечевица;1;11,41;Песчаный 1251;РСт;Свои;минимальная;1,53;110,00;276,10;5,39;7,70;
16.13.16.006.00;Татарстан;пашня;5;2023;Эспарцет 1 г.ж.корм;Чечевица;1;59,02;Песчаный 1251;РСт;Свои;минимальная;1,53;95,72;204,71;8,58;6,57;
16.13.16.007.00;Татарстан;пашня;5;2023;Эспарцет 1 г.ж.корм;Чечевица;1;17,52;Песчаный 1251;РСт;Свои;минимальная;1,53;152,90;242,00;5,50;5,94;
16.13.16.015.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;35,96;Рэдкот;РСт;Свои;классическая с плугом;1,53;0,00;0,00;0,00;0,00;
16.13.16.016.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;157,15;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.16.017.00;Татарстан;пашня;3;2023;Чечевица;Лён масличный;;85,21;Рэдкот;РСт;Свои;классическая с плугом;1,53;0,00;0,00;0,00;0,00;
16.13.16.018.00;Татарстан;пашня;3;2023;Яр.ячмень;Кукуруза силос;;32,93;Паустиан;РС-2;Свои;минимальная;3,57;0,00;0,00;0,00;0,00;
16.13.16.019.00;Татарстан;пашня;3;2023;Кукуруза силос;Кукуруза силос;;79,45;П 7043;F1;Покупные;минимальная;4,68;0,00;0,00;0,00;0,00;
16.13.16.020.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;12,17;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.16.021.00;Татарстан;пашня;3;2023;Кукуруза силос;Лён масличный;;160,25;Росс 140 СВ;F1;Покупные;классическая с плугом;4,68;0,00;0,00;0,00;0,00;
16.13.16.023.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;9,82;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.16.024.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;4,01;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.16.025.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;137,11;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.16.026.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;10,05;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.16.027.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;56,04;Рэдкот;РСт;Свои;классическая с плугом;1,89;0,00;0,00;0,00;0,00;
16.13.16.028.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;7,23;Рэдкот;РСт;Свои;минимальная;1,89;0,00;0,00;0,00;0,00;
16.13.16.029.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;26,64;Рэдкот;РСт;Свои;минимальная;1,89;0,00;0,00;0,00;0,00;
16.13.16.030.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;16,10;Рэдкот;РСт;Свои;минимальная;1,89;0,00;0,00;0,00;0,00;
16.13.16.031.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;9,03;Рэдкот;РСт;Свои;минимальная;1,89;0,00;0,00;0,00;0,00;
16.13.16.032.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;55,37;Рэдкот;РСт;Свои;минимальная;1,89;0,00;0,00;0,00;0,00;
16.13.16.033.00;Татарстан;пашня;3;2023;Чечевица;Кукуруза силос;;5,22;Рэдкот;РСт;Свои;минимальная;1,89;0,00;0,00;0,00;0,00;
16.13.16.034.00;Татарстан;пашня;3;2023;Подсолнечник;Кукуруза силос;;62,84;Сузука;F1;Покупные;нулевая с прямым посевом;1,70;0,00;0,00;0,00;0,00;
16.13.16.035.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;9,63;Паустиан;РС-2;Свои;минимальная;3,57;0,00;0,00;0,00;0,00;
16.13.16.036.00;Татарстан;пашня;3;2023;Подсолнечник;Кукуруза силос;;77,84;Сузука;F1;Покупные;минимальная;1,70;0,00;0,00;0,00;0,00;
16.13.16.037.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;22,44;Паустиан;РС-2;Свои;минимальная;3,57;0,00;0,00;0,00;0,00;
16.13.16.038.00;Татарстан;пашня;3;2023;Подсолнечник;Кукуруза силос;;44,31;Сузука;F1;Покупные;нулевая с прямым посевом;1,70;0,00;0,00;0,00;0,00;
16.13.16.039.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;36,58;Паустиан;РС-2;Свои;минимальная;3,57;0,00;0,00;0,00;0,00;
16.13.16.040.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;98,64;Паустиан;РС-2;Свои;минимальная;3,57;0,00;0,00;0,00;0,00;
16.13.16.041.00;Татарстан;пашня;3;2023;Яр.ячмень;Подсолнечник;;299,76;Паустиан;РС-2;Свои;минимальная;3,57;0,00;0,00;0,00;0,00;
16.13.16.042.00;Татарстан;пашня;3;2023;Подсолнечник;Кукуруза силос;;305,43;Сузука;F1;Покупные;минимальная;1,70;0,00;0,00;0,00;0,00;
16.13.16.043.00;Татарстан;пашня;3;2023;Подсолнечник;Кукуруза силос;;70,02;Сузука;F1;Покупные;минимальная;1,70;0,00;0,00;0,00;0,00;
16.13.16.044.00;Татарстан;пашня;3;2023;Подсолнечник;Кукуруза силос;;58,69;Сузука;F1;Покупные;минимальная;1,70;0,00;0,00;0,00;0,00;
16.13.16.045.00;Татарстан;пашня;3;2023;Подсолнечник;Яр.ячмень;;18,69;Сузука;F1;Покупные;минимальная;1,70;0,00;0,00;0,00;0,00;
16.13.16.046.00;Татарстан;пашня;3;2023;Подсолнечник;Кукуруза силос;;10,93;Сузука;F1;Покупные;;1,70;0,00;0,00;0,00;0,00;
16.13.16.047.00;Татарстан;пашня;3;2023;Подсолнечник;Яр.ячмень;;114,19;Сузука;F1;Покупные;минимальная;1,70;0,00;0,00;0,00;0,00;
16.13.16.048.00;Татарстан;пашня;3;2023;Эспарцет 1 г.ж.корм;Яр.ячмень;1;184,58;Песчаный 1251;РСт;Свои;классическая с плугом;1,53;0,00;0,00;0,00;0,00;
16.13.16.049.00;Татарстан;пашня;3;2023;Чечевица;Лён масличный;;7,11;Рэдкот;РС-1;Свои;классическая с плугом;1,53;0,00;0,00;0,00;0,00;
16.13.17.001.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;340,26;;;;минимальная;;203,69;203,69;6,60;6,94;
16.13.17.002.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;10,73;;;;минимальная;;136,40;136,40;3,85;6,49;
16.13.17.003.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;193,04;;;;минимальная;;292,62;277,86;7,48;6,39;
16.13.17.004.01;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;133,75;;;;минимальная;;148,32;118,80;5,94;6,58;
16.13.17.004.02;Татарстан;пашня;3;2023;Пар;Пар;;62,29;;;;классическая с плугом;;148,32;118,80;5,94;6,58;
16.13.17.005.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;51,12;;;;классическая с плугом;;169,95;169,95;7,92;6,88;
16.13.17.006.00;Татарстан;пашня;3;2023;Лён масличный;Оз.пшеница мягкая;;7,64;Флиз;РС-1;Свои;;1,24;0,00;0,00;0,00;0,00;
16.13.17.007.00;Татарстан;пашня;3;2023;Лён масличный;Оз.пшеница мягкая;;229,55;Кинельская 100;;Покупные;;1,24;162,01;208,25;8,14;6,20;
16.13.17.008.00;Татарстан;пашня;;2023;Лён масличный;Оз.пшеница мягкая;;264,08;Кинельская 100;;Покупные;;1,24;141,81;202,37;7,70;5,89;
16.13.17.009.00;Татарстан;пашня;3;2023;Гречиха;Оз.рыжик;;75,91;Девятка;РС-1;Покупные;;1,53;195,80;220,00;8,14;6,05;
16.13.17.010.00;Татарстан;пашня;3;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;5;84,78;;;;классическая с плугом;3,40;170,18;170,18;6,43;6,71;
16.13.17.011.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;68,17;;;;минимальная;;149,23;133,47;6,71;6,00;
16.13.17.012.00;Татарстан;пашня;3;2023;Залежь, лес;Залежь, лес;;74,84;;;;;;149,60;149,60;5,39;6,02;
16.13.17.013.00;Татарстан;пашня;3;2023;Лён масличный;Оз.пшеница мягкая;;67,41;Кинельская;ЭС;Покупные;;1,24;146,45;211,80;8,36;6,28;
16.13.17.014.00;Татарстан;пашня;;2023;Лён масличный;Чечевица;;225,57;Кинельская 100;;Покупные;;1,24;283,58;253,44;8,03;7,16;
16.13.17.015.00;Татарстан;пашня;3;2023;Лён масличный;Оз.пшеница мягкая;;90,39;Флиз;РС-1;Покупные;;1,24;0,00;0,00;0,00;0,00;
16.13.17.016.00;Татарстан;пашня;3;2023;Кукуруза силос;Оз.пшеница мягкая;;214,70;Росс 140 СВ+;F1;Покупные;классическая с плугом;4,68;125,24;198,33;7,59;6,45;
16.13.17.017.01;Татарстан;пашня;5;2023;Кукуруза силос;Чечевица;;183,18;Росс 140 СВ+;F1;Покупные;классическая с плугом;4,68;125,24;198,33;7,59;6,45;
16.13.17.017.02;Татарстан;пашня;5;2023;Эсп.+костр.1 г.ж.корм;Чечевица;1;4,08;;;;;;125,24;198,33;7,59;6,45;
16.13.17.018.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;116,71;;;;минимальная;;128,70;128,70;6,05;7,08;
16.13.17.019.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;103,51;;;;классическая с плугом;;139,48;113,08;8,14;6,49;
16.13.17.020.00;Татарстан;пашня;3;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;5;78,62;;;;классическая с плугом;3,40;179,58;141,08;7,26;6,30;
16.13.17.021.00;Татарстан;пашня;;2023;Эсп.+костр.пр.лет корм;Эсп.+костр.1 г.ж.корм;2;535,15;;;;;3,40;147,46;204,05;8,00;6,89;
16.13.17.022.01;Татарстан;пашня;3;2023;Эсп.+костр.1 г.ж.корм;Оз.пшеница мягкая;1;6,16;Смесь сортов;РСт;Свои;классическая с плугом;;122,10;56,10;8,03;6,05;
16.13.17.022.02;Татарстан;пашня;3;2023;Эсп.+костр.1 г.ж.корм;Оз.пшеница мягкая;1;0,68;;;;;;122,10;56,10;8,03;6,05;
16.13.17.023.00;Татарстан;пашня;5;2023;Эсп.+костр.1 г.ж.корм;Чечевица;1;8,12;Смесь сортов;РСт;Свои;классическая с плугом;;110,00;57,20;8,47;7,59;
16.13.17.024.01;Татарстан;пашня;3;2023;Кукуруза силос;Оз.пшеница мягкая;;111,47;Росс 140 СВ+;F1;Покупные;классическая с плугом;4,68;227,04;274,12;8,91;7,24;
16.13.17.024.02;Татарстан;пашня;3;2023;Эсп.+костр.1 г.ж.корм;Оз.пшеница мягкая;1;2,12;;;;;;227,04;274,12;8,91;7,24;
16.13.17.025.01;Татарстан;пашня;3;2023;Кукуруза силос;Оз.пшеница мягкая;;114,13;Росс 130;F1;Покупные;гибридизация;4,68;216,70;237,38;7,48;6,58;
16.13.17.025.02;Татарстан;пашня;3;2023;Эсп.+костр.1 г.ж.корм;Оз.пшеница мягкая;1;3,15;;;;;;216,70;237,38;7,48;6,58;
16.13.17.026.00;Татарстан;пашня;5;2023;Кукуруза силос;Чечевица;;24,06;Росс 130;F1;Покупные;минимальная;4,68;116,60;276,10;7,81;7,04;
16.13.17.027.00;Татарстан;пашня;3;2023;Пар;Люцерна пр.лет корм;;31,96;;;;минимальная;;200,75;136,95;7,15;6,71;
16.13.17.028.00;Татарстан;пашня;5;2023;Эсп.+костр.пр.лет корм;Эсп.+костр.1 г.ж.корм;2;129,37;;;;;3,40;96,40;207,69;8,53;7,14;
16.13.17.029.00;Татарстан;пашня;5;2023;Эсп.+костр.пр.лет корм;Эсп.+костр.1 г.ж.корм;2;62,09;;;;;3,40;127,23;145,20;8,91;6,20;
16.13.17.030.01;Татарстан;пашня;3;2023;Кукуруза силос;Оз.пшеница мягкая;;117,79;Росс 140 СВ;F1;Покупные;минимальная;4,68;269,71;238,13;7,55;6,72;
16.13.17.030.02;Татарстан;пашня;3;2023;Эсп.+костр.1 г.ж.корм;Оз.пшеница мягкая;1;2,56;;;;;;269,71;238,13;7,55;6,72;
